UniqueCount	AmbigCount
1	5
0	1
31	240
0	0
0	1
0	2
0	0
0	17
0	17
0	0
0	0
0	0
0	0
0	0
98	126
0	7
4	2
0	10
0	4
0	92
2	2
0	69
0	0
0	16
297	18
1	7
13	187
43	21
0	1
0	1
0	1
47	275
0	121
20	147
0	89
0	94
0	52
388	51
0	12
0	0
0	0
0	3
0	0
0	2
0	1
0	4
31	14
21	14
0	5
0	11
64	1
0	40
0	27
0	51
0	30
0	37
0	18
2	19
0	34
1	20
2	16
0	31
1	20
2	3
0	27
0	161
1	10
0	0
3	5
0	0
22	90
2	4
0	2
0	9
0	6
0	8
45	5
0	6
0	3
0	4
0	0
0	2
0	4
0	6
0	13
0	0
0	0
130	1397
6073	21045
222	61454
0	0
1	350
0	3
5381	3434
8	646
0	0
0	0
419	713
0	60
0	1
3	1
7	46
13	21
18	75
0	63
0	1
0	28
72	28
0	15
0	4
3	5
0	5
0	8
9	9
1	7
0	12
1	14
0	12
59	80
2	10
0	9
10	2
0	2
0	2
0	28
1	4
561	129
0	53
4	60
0	78
9	42
0	23
18	191
0	88
0	23
8	57
1	4
27	20
6	22
83	9
11	27
0	5
0	17
0	0
0	0
0	0
1	7
0	6
0	0
0	0
0	0
0	0
0	0
0	7
0	7
0	7
0	7
0	7
0	7
0	7
0	7
0	7
0	7
0	3
0	0
0	1
0	0
0	1
8	686
269	2045
42	1761
5	0
0	646
11	17
58	220
5	243
24	52
18	73
35	4
4	51
3	50
1	43
0	1
2	4
0	26
0	11
3	26
35	0
8	54
15	38
22	35
0	15
1	157
0	119
297	154
0	0
2	0
702	6852
14	6871
0	2
0	23
7	251
64	138
0	13
9	53
0	443
280	2182
0	14
51	269
3	58
0	268
115	6
74	160
35	120
7	0
1	0
0	59
0	54
0	67
0	70
8	48
2	61
0	56
0	3
0	46
0	23
0	18
0	19
0	6
2	0
0	7
0	7
0	2
0	1
0	0
0	0
0	0
0	0
2	0
17	0
0	0
0	0
0	2
0	2
1	2
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	2
0	2
0	1
68	2911
0	2252
2	2627
61	879
5	612
0	765
1	514
163	0
0	1
0	1
5	1
2	2
3	1
22	0
0	585
0	587
1	635
0	411
3	393
0	397
0	341
19	45
0	296
0	255
0	26
0	70
0	87
0	38
0	44
1	7
0	5
12	11
10	13
19	0
1	0
9	0
1	121
0	94
2	118
2	117
3	8
1	115
0	3
8	26
10	689
46	618
8	470
0	421
15	6
4	56
2	104
1	8
59	111
10	43
32	10
0	14
8	0
0	0
36	110
5	19
1	2
0	44
1	73
5	623
0	1046
0	1040
0	761
0	509
0	1195
3	179
3	888
0	767
80	617
18	387
2	675
0	1034
3	768
0	668
0	922
0	933
0	218
0	68
2	67
1	725
0	85
0	188
0	183
1	99
0	151
0	276
0	9
3	37
7	386
2	177
0	158
0	233
0	181
0	182
0	5
6	4
0	74
5	303
1	229
8	119
0	170
2	78
0	77
2	72
0	90
0	32
0	2
0	3
4	2
0	0
40	0
0	55
168	88
3	34
2	0
16	1389
24	1383
0	931
3	180
0	230
2	77
2	48
14	64
0	0
0	425
7	537
0	560
6	302
0	534
7	170
1	117
11	116
0	0
0	1
10	489
233	475
7	472
14	481
6	18
0	7
0	0
171	2123
0	2036
55	1217
20	2404
193	6334
5	3557
4	1535
7	3965
0	5287
2	1107
7	1583
0	426
2	388
5	415
8	459
0	1269
93	69
0	246
17	11
5	44
6	125
9	407
16	413
0	20
0	6
0	391
7	364
0	123
132	479
0	142
28	262
47	12
18	274
0	46
0	2
137	16
1	151
18	172
0	163
0	58
23	44
3	0
5	0
0	1
4	1
1	1
1	0
2	117
3	434
155	550
12	16
31	22
0	0
15	4
4	360
30	345
7	21
38	224
53	152
0	5
0	0
19	577
0	551
0	544
0	544
0	6
4	26
0	50
0	0
0	0
2	0
406	835
10	671
0	166
373	36
5	1
0	0
56	0
120	1
0	401
0	428
0	321
0	429
49	434
1	395
1	386
19	29
0	27
0	410
0	12
0	297
1	23
0	3
0	21
0	409
1	331
0	13
0	373
2	336
7	1
13	3
0	340
9	61
2	15
0	4
3	82
0	105
2	133
3	24
0	7
0	7
1	13
1	1
1	8
0	13
0	11
0	9
0	7
1	6
0	1
0	1
54	1032
0	964
5	817
0	938
0	890
2	756
0	756
0	756
0	182
0	0
3	124
1	2052
1	2064
19	610
16	156
0	0
0	0
0	13
0	616
3	142
0	489
0	558
0	401
0	647
0	527
0	607
0	642
0	574
5	14
0	32
1	16
0	0
2	56
0	6
2	24
6	85
6	51
2	46
4	6
0	2
2	3
58	475
1	0
0	3
0	0
0	0
18	94
5	10
6	88
1	1519
2	1503
7	1392
6	714
0	3
3	260
1	100
0	30
21	237
1	48
0	24
0	172
15	153
2	97
9	90
0	28
1	0
38	11985
0	10940
115	12384
37	1293
1	2721
7	759
33	1499
2	585
0	11
0	57
3	0
1	1
0	1
1	0
0	0
11	112
3	96
0	10
0	32
5	17
0	0
19	15
2	18
0	19
0	0
8	20
0	1
0	0
0	21
1	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	7
0	0
0	0
0	0
0	0
0	0
93	1318
0	72
2	5
0	12
0	12
0	5
0	1281
0	42
0	1169
0	100
0	195
0	117
0	194
13	132
1	260
0	219
0	143
1	66
87	66
12	155
0	17
0	1117
2	196
0	871
2	591
3	34
12	15
1	0
0	0
1	74
9	73
1	207
0	275
1	157
131	143
0	78
2	242
0	157
1	159
14	149
0	48
0	194
0	0
0	0
0	0
1983	27
0	0
2	15
4	12
0	21
0	12
0	21
0	0
6	3
1	1
3	5
0	10
10	5
1	1
1	0
0	0
14	1
0	1
9	1
5	1141
0	191
34	1841
11	670
3	13
7	1107
37	528
260	1061
16	178
60	314
3	336
0	304
3	61
67	23
1	6
7	13
6	16
0	0
0	86
0	80
0	80
0	100
8	67
5	65
0	42
0	0
0	0
26	481
0	412
1	279
5	49
2	13
5	2
11	3
1	23
0	119
4	29
0	1
1	5
0	0
24	0
0	42
0	4
21	31
0	14
29	55
4	9
0	118
11	155
66	152
8	155
1	127
14	471
0	371
0	104
2	129
52	124
89	485
0	538
0	29
2	124
2	0
4	44
0	2
8	0
1	85
0	77
2	701
0	681
0	740
1	684
0	163
0	718
0	157
0	32
0	13
0	50
9	687
1	13
2	655
0	2
1	3
0	1
0	1
0	2
0	2
0	0
0	0
0	0
1	0
8	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	4
0	0
0	0
10	4
0	56
0	0
0	67
0	56
10	78
0	32
0	0
0	60
0	21
1	1
0	0
0	0
0	0
9	0
157	608
5	608
11	597
0	61
12	49
6	77
84	388
6	0
29	596
51	738
28	46
26	561
0	43
1	70
13	16
0	0
3	0
289	1316
0	1316
23	294
26	329
82	11
1	125
0	47
0	18
0	8
5	98
0	132
4	49
0	30
0	25
0	15
0	25
0	26
0	10
0	11
0	12
0	13
0	27
0	8
1	1
0	14
0	5
6	0
0	0
4	0
1	188
330	323
0	1
1	202
10	214
8	25
1	59
0	13
2	9
0	0
1	5
0	0
0	0
67	38
0	13
1	35
1021	188
7	187
2	16
1	0
6	0
500	749
0	16
2	130
11	107
4	51
0	77
5	482
2	8
0	116
1	30
0	128
0	6
3	141
0	146
2	140
0	139
0	143
1	140
0	137
0	135
0	6
3	3
0	17
16	379
26	422
22	392
1	3
37	11
6	13
2	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
3	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	7
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	86
1	92
0	273
10	302
5	317
0	236
2	2
6	8
9	7
0	158
0	9
0	22
2	335
0	0
0	100
0	0
2	0
1	363
0	359
0	84
0	93
3	106
0	10
0	332
0	0
0	6
0	302
2	108
0	0
4	19
3	14
0	0
0	13
0	10
0	8
0	0
0	1642
18576	8816
144	8818
0	8453
10	5420
5	4528
1	1652
0	1646
1	0
13	2
1	0
25	86
3	1
12	88
0	0
0	0
0	8
0	10
677	1477
0	13
16	1463
6	378
0	3
2	2
0	0
7	0
4	742
1	670
22	670
7	670
0	625
2	625
0	768
0	768
0	344
0	1
0	0
0	1
0	0
0	0
16	2
0	0
0	0
47	530
2	1521
0	0
0	0
0	1
0	12
0	15
5	872
0	1516
67	629
1	19
41	1432
87	102
42	489
7	581
43	751
2	87
0	0
1	0
0	33
32	44
0	25
0	28
0	22
0	29
0	19
0	22
0	8
0	20
0	9
0	6
0	16
0	19
2	1
0	7
0	15
0	8
1	12
0	3
11	320
0	335
0	335
2	341
0	335
0	335
1	197
0	264
7	293
1	293
0	293
5	207
0	0
488	75
0	53
5	14
7	3
0	3
0	0
0	0
2	19
0	21
0	6
0	8
13	66
10	51
15	167
0	43
41	83
23	24
0	46
0	9
1	1548
35	1564
0	197
5	105
0	168
0	72
1186	94
0	94
44	143
6	1
13	119
20	46
0	55
1	39
2	29
0	2
39	910
0	442
165	1815
3	1286
1	125
35	409
0	306
0	45
21	280
2	216
4	107
1	1
0	0
0	0
0	0
0	0
0	4
5	0
221	236
23	213
2	136
145	302
4	47
1	163
3	144
0	104
0	35
0	34
2	34
0	28
2	5
0	173
0	119
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	0
3	0
6	0
4885	352
92	352
1	44
24	0
2	40
0	286
0	280
0	287
2	269
3	4
2	2
1	1
0	6
0	0
1	0
0	0
0	0
11	11
0	0
0	0
0	0
0	0
0	1942
74	327
211	3417
164	3275
0	1825
1	970
0	3058
1	2499
1	564
3	1292
0	0
8	0
12	18
11	1
0	253
29589	9536
1610	8242
15	4011
126	2458
50	6
0	0
1	0
8	3
0	3
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
7	4100
1	3543
0	59
0	1651
5	1687
22	1945
0	47
0	18
0	112
2	4
0	3
0	3
0	74
7	619
0	3
0	32
4	9
9	15
0	2
0	2
0	0
0	0
0	3
0	1
0	0
0	0
0	0
0	0
13791	75291
315	57828
2	15582
95	7622
233	7107
55	385
0	0
11	0
1	0
0	0
0	3
1	1
0	0
0	0
0	0
4	7
0	0
0	0
0	0
0	0
0	0
18	7
0	0
4	2
0	2
0	2
0	5
0	2
0	1
0	1
0	0
0	0
1282	19
0	0
0	12
855	3
0	0
0	0
0	0
2	7
4	10
0	3
1	0
1229	1246
21	1169
0	709
288	165
0	87
0	165
1	124
2	0
4	1
0	1
0	1
0	0
18	0
2217	690
25	0
157	77
7	228
2	207
1	0
1	14
0	1288
0	1327
41	1327
4	0
0	630
0	670
1	3
1	6
0	0
0	0
57	0
16	3633
17	1300
183	3234
85	3633
0	100
0	0
3	8
0	2
592	420
16	423
0	174
0	127
0	0
27	311
785	1891
0	1761
116	1534
0	63
0	1
3	139
261	330
0	304
2	12
2	8
3	0
0	0
0	0
0	13
4	37
14	37
239	1997
41	122
800	1894
0	0
0	238
0	198
4	159
0	62
16	262
1	7
0	0
0	0
0	0
291	1613
0	3586
455	5952
8	1587
0	5154
3	5101
0	5098
1	0
0	14
0	193
0	193
1	865
0	20
1	0
0	1
0	2
0	0
0	1
0	10
0	3
8	18
0	17
0	5
3	1188
2	1
97	591
1558	3769
0	844
4	730
7	888
8	58
4	1301
3	211
0	0
2	30
1	19
0	81
1	27
0	5
16	111
0	0
35	41
2	21
0	39
3	5
1249	268
0	96
18	247
0	2
1	1
433	98
0	98
1	1
0	0
48	113
0	0
0	1
16	112
0	0
17	95
0	17
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	857
280	7962
0	6096
0	1579
0	2037
3	2460
1	540
0	1095
1	1225
0	1051
0	3143
0	1969
0	342
0	1968
1	1717
0	986
4	1396
4	72
0	629
0	516
0	520
0	320
0	46
0	36
0	488
1	1732
2	773
0	116
0	31
0	138
0	75
0	2081
0	82
0	17
0	25
0	66
32	51
0	0
122	51
22	62
38	46
0	45
1	165
760	527
3	73
6	45
2	338
9	39
8	1617
84	1788
48	443
7	10
37	29
0	48
0	27
0	16
8	4
6	26
0	121
0	0
0	0
1	0
2	1373
1013	1471
1	180
4	186
5	94
31	98
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
876	76
1	71
2	15
37	11
0	0
