UniqueCount	AmbigCount
3	7
0	0
22	238
0	0
0	3
0	4
0	0
0	21
0	18
0	0
0	0
0	0
0	0
0	0
25	52
0	7
3	3
0	10
0	0
0	39
12	4
1	44
0	3
0	4
268	26
0	22
22	187
40	29
0	0
1	8
0	0
52	314
1	92
5	122
2	74
0	67
0	23
248	52
0	4
0	0
0	0
0	0
0	1
2	2
1	2
0	5
36	18
27	12
0	5
0	16
45	1
0	25
0	17
0	20
0	12
0	34
1	15
0	18
0	22
0	21
4	7
0	12
2	30
2	6
0	14
0	193
5	18
0	0
7	6
0	0
24	71
0	6
0	0
0	12
0	2
2	4
11	3
1	7
0	2
0	5
0	0
0	3
0	8
0	5
0	19
0	0
0	0
159	1104
4145	26393
136	62225
1	0
5	244
0	3
5653	2820
5	403
0	0
0	0
345	602
0	70
0	0
0	8
5	33
10	12
32	67
0	58
0	5
0	32
72	32
0	14
1	2
2	2
0	5
0	12
0	12
0	12
0	12
0	5
0	8
44	67
0	1
2	0
6	8
0	8
0	1
0	10
0	6
192	62
0	18
3	19
0	35
4	27
0	18
1	95
0	49
1	9
5	25
5	6
21	9
8	9
43	3
19	26
0	7
0	19
0	0
0	0
0	0
0	4
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	754
264	2156
85	1821
6	0
0	683
13	25
55	147
6	167
32	31
9	31
15	0
1	19
0	19
0	16
0	0
0	1
0	8
0	5
0	8
45	0
0	16
3	10
7	7
0	0
2	63
0	44
135	61
0	0
1	0
317	2911
6	2919
0	2
0	6
13	142
53	73
1	5
4	33
0	218
218	1038
0	12
23	101
1	36
0	101
70	5
19	67
1	30
1	0
1	0
0	66
1	51
0	70
0	71
21	57
2	75
0	64
1	1
1	48
1	29
0	32
0	33
1	11
0	5
0	6
0	9
0	8
0	9
4	3
0	0
0	0
0	0
2	0
6	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
73	3126
0	2555
0	2875
57	860
3	544
0	917
0	569
303	0
0	0
0	0
0	0
2	0
0	0
21	0
5	467
0	480
4	497
2	322
0	319
3	319
3	281
31	43
0	236
3	190
1	33
0	67
0	57
0	30
1	27
0	3
0	3
12	4
3	7
24	1
1	0
19	0
2	144
3	113
9	132
1	131
1	18
8	130
0	10
4	19
11	1094
74	989
23	623
0	649
35	5
7	94
11	153
12	14
109	260
5	110
73	42
0	50
24	0
0	0
28	81
0	21
0	1
0	37
2	49
7	461
0	820
0	806
0	599
0	411
1	917
0	132
0	703
0	598
100	530
24	318
2	538
0	811
4	605
0	517
0	673
0	715
0	171
1	81
2	47
2	589
0	80
0	187
0	153
1	88
0	100
0	211
0	12
8	37
0	287
4	152
0	131
0	178
0	144
0	146
0	9
3	5
0	70
6	241
6	196
43	136
0	125
3	53
0	63
1	63
2	61
0	27
0	3
0	10
1	13
0	0
51	0
1	29
138	54
0	27
1	0
6	1105
9	1113
1	724
3	162
0	173
6	56
0	69
13	82
0	0
0	173
4	203
0	205
0	113
0	200
7	51
0	36
1	37
0	0
0	0
4	384
28	376
0	372
6	369
1	8
0	7
0	0
108	1484
6	1503
19	871
38	1740
107	4073
7	2329
0	1099
3	2689
0	3314
0	722
1	1139
0	308
1	276
1	289
2	335
0	895
88	48
1	129
3	9
3	29
2	138
11	570
16	598
0	32
0	18
0	549
13	546
0	190
250	829
0	275
42	544
23	4
31	415
0	117
0	1
118	14
9	337
14	392
0	378
0	128
80	113
5	0
1	0
3	3
3	2
0	8
5	8
2	136
1	485
128	623
5	18
42	22
0	0
16	3
13	436
59	423
7	32
56	298
47	198
0	2
0	2
17	482
0	455
0	471
0	471
0	2
7	29
0	62
0	0
0	0
3	0
298	750
15	600
0	152
804	32
10	2
0	0
130	0
125	1
0	289
0	325
0	211
0	323
56	339
2	305
0	318
21	24
1	18
0	316
0	3
0	202
0	22
0	2
0	12
0	314
1	248
0	4
0	275
2	236
2	2
2	2
0	267
12	71
2	15
0	5
3	75
0	77
0	76
0	8
0	1
1	1
2	4
